"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"168",11,147,13,22,29,45,28,13,133,61,16,21,13,41,80,11,20,20,14,16
"169",14,NA,31,11,31,NA,14,12,12,19,NA,13,11,21,10,12,17,22,14,NA
"170",12,29,50,17,10,17,18,16,13,54,23,18,9,12,11,13,18,12,42,12
"171",134,28,146,12,32,111,17,52,36,15,9,134,52,13,11,10,12,16,126,39
"172",165,18,9,11,186,16,16,19,20,10,15,16,38,25,18,57,10,16,176,10
"173",16,10,55,13,23,16,12,58,11,14,16,45,10,17,14,10,20,28,19,11
"174",11,19,16,13,16,36,22,23,16,15,17,129,15,12,12,20,34,124,11,17
"175",13,17,90,34,31,11,10,15,60,15,89,16,16,12,18,9,12,77,28,19
"176",12,9,10,19,18,13,14,15,134,99,14,16,128,11,10,153,19,22,10,29
"177",15,15,27,82,15,14,22,20,16,19,15,15,25,86,17,18,52,37,13,15
"178",44,27,11,16,16,24,12,17,38,10,19,24,20,13,40,9,10,11,22,24
"179",16,46,17,67,27,26,11,9,17,47,11,12,161,14,33,17,10,20,26,158
"180",15,75,75,59,19,8,23,16,12,23,13,15,10,12,11,14,8,10,14,50
"181",41,15,10,14,274,74,15,12,23,24,33,9,15,12,47,34,9,12,24,12
"182",12,16,26,24,24,50,17,17,12,30,18,12,15,17,14,43,10,9,17,14
"183",14,11,22,22,55,10,19,15,30,52,19,50,17,9,10,24,16,14,14,11
"184",13,27,16,20,14,166,10,188,20,31,26,11,16,14,15,25,10,71,81,12
"185",15,13,16,47,30,20,17,98,17,10,22,16,18,33,8,14,51,23,92,10
"186",120,13,20,77,23,17,110,27,42,50,10,19,37,100,14,15,15,22,14,31
"187",17,12,14,132,44,12,79,9,31,9,442,21,39,24,12,11,35,14,11,14
"188",14,59,26,23,29,12,117,13,66,10,12,41,12,13,16,51,9,12,10,20
"189",102,13,23,17,44,18,16,13,10,34,18,18,18,114,15,14,10,17,14,11
"190",15,78,30,32,18,23,45,29,44,24,70,78,11,10,15,32,33,25,82,25
"191",8,149,10,15,29,30,11,20,18,23,13,13,158,16,20,15,153,16,13,9
"192",19,12,15,13,11,14,20,16,13,19,14,18,40,13,19,53,12,44,20,12
"193",9,17,13,21,12,12,35,14,21,29,20,10,14,40,13,33,34,14,21,17
"194",34,10,12,13,11,292,14,14,9,13,244,14,11,17,23,11,32,39,10,33
"195",20,19,47,11,12,13,72,9,11,9,18,13,12,13,12,66,36,18,71,15
"196",19,17,21,15,20,30,12,12,32,12,18,8,12,8,17,36,30,15,18,14
"197",38,13,13,12,17,24,12,17,24,19,13,23,46,20,26,11,25,62,73,16
"198",24,39,14,26,8,46,15,17,26,10,10,13,67,11,21,10,20,44,11,18
"199",27,13,16,12,37,128,16,20,133,13,20,15,19,19,121,11,11,23,17,17
"200",15,14,35,17,29,13,16,20,31,14,43,77,79,16,18,65,13,16,26,39
"201",12,23,29,9,63,66,174,21,14,12,18,12,76,8,14,10,158,16,174,164
"202",48,17,22,56,21,14,17,15,65,21,9,14,13,12,40,20,22,61,8,18
"203",19,22,31,18,24,17,68,21,13,14,14,295,12,20,318,17,15,33,13,15
"204",15,11,25,28,200,19,215,11,39,10,13,152,10,15,16,12,18,47,19,12
"205",13,20,12,12,13,17,10,16,87,119,23,105,21,18,18,28,19,9,26,14
"206",52,7,10,14,9,49,24,12,11,10,10,13,16,33,8,11,11,16,45,12
"207",NA,19,21,33,12,NA,9,25,24,13,8,26,23,8,110,NA,10,59,18,10
"208",12,14,35,10,9,9,9,299,289,11,27,281,12,10,24,296,32,49,16,24
"209",25,13,16,205,14,NA,19,95,12,NA,16,27,NA,15,33,142,16,15,70,37
"210",15,13,NA,NA,25,25,80,19,13,18,21,15,223,91,58,84,13,25,139,11
"211",78,13,13,20,24,281,20,19,43,13,75,39,18,96,29,274,23,93,19,20
"212",81,94,96,68,18,11,20,21,8,16,14,24,8,27,15,129,7,80,10,122
"213",13,9,13,13,21,16,15,10,10,10,11,17,12,38,7,35,10,12,36,18
"214",9,31,250,17,26,19,9,370,15,33,10,373,15,10,19,19,372,9,26,34
"215",64,10,12,7,13,13,18,11,9,10,14,9,8,6,8,15,63,31,68,11
"216",15,12,21,13,13,19,37,26,7,34,42,17,11,26,8,10,23,32,10,9
"217",158,17,9,86,13,16,9,18,48,20,26,15,12,123,9,13,154,24,23,9
"218",13,10,14,12,17,12,12,14,19,19,97,46,9,18,94,96,87,17,21,11
"219",27,22,8,13,12,17,92,8,15,87,18,37,20,12,16,81,23,33,10,19
"220",24,19,25,62,317,16,49,13,10,26,10,22,332,27,100,328,22,10,20,19
"221",139,21,10,9,10,19,17,46,7,15,10,14,25,19,29,34,9,10,10,144
"222",16,20,25,21,26,20,9,14,296,234,8,15,9,11,16,14,61,24,12,262
"223",64,7,18,13,224,11,14,15,16,11,16,17,216,14,23,13,121,13,222,10
"224",42,29,12,8,19,9,15,52,11,39,52,14,11,16,46,15,12,17,23,33
"225",22,19,76,15,18,10,7,18,40,108,108,14,100,17,19,17,34,8,76,13
"226",32,13,23,13,42,10,24,104,25,14,8,43,13,19,106,30,21,16,24,37
"227",11,10,12,9,10,52,47,10,53,12,13,11,22,19,399,18,12,24,12,13
"228",20,56,43,26,12,15,15,110,10,40,23,72,98,9,16,11,33,120,14,22
