"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"123",10,17,12,14,14,50,19,30,11,27,19,11,10,9,11,15,11,18,51,20,17,13,20,9,14,17,14,15,12,14
"124",18,12,17,16,7,13,11,15,13,11,12,23,10,9,13,16,13,28,12,15,40,13,11,18,16,7,13,16,14,38
"125",15,10,10,8,7,9,12,24,18,10,18,22,16,11,17,17,75,7,15,10,13,22,9,NA,12,12,15,22,23,12
"126",8,14,11,13,10,10,12,11,58,8,18,8,12,7,11,8,13,9,11,9,11,8,17,7,13,54,18,11,10,12
"127",14,NA,13,11,16,16,9,15,11,67,11,17,14,9,12,NA,12,16,15,8,12,26,44,10,11,24,18,9,16,19
"128",18,12,9,10,12,16,12,7,14,10,14,12,9,10,10,22,37,12,9,10,8,7,10,28,15,21,12,32,12,14
"129",10,37,15,12,10,16,13,16,11,9,17,14,15,8,9,18,15,13,14,13,9,8,13,16,16,11,39,14,11,14
"130",12,11,10,24,16,8,10,11,10,11,29,10,8,10,10,13,23,13,8,20,11,11,13,16,36,18,9,38,10,16
"131",27,12,11,37,10,13,20,21,9,190,23,9,312,8,11,9,14,13,8,10,14,108,13,18,11,101,10,19,77,21
"132",15,18,21,11,13,17,9,7,NA,18,9,14,36,11,15,18,18,16,21,11,15,13,9,9,14,8,16,NA,10,NA
"133",9,18,7,17,18,14,14,23,12,12,10,18,23,13,17,8,60,56,19,12,10,11,23,14,19,12,15,11,19,18
"134",11,21,22,13,16,18,20,13,9,12,12,15,11,18,20,19,34,15,35,13,21,14,18,8,17,19,19,15,7,8
"135",8,25,14,16,20,20,8,20,15,8,13,11,9,9,17,9,9,75,75,15,8,12,16,14,13,63,10,16,17,12
"136",8,11,17,16,9,97,126,16,8,10,10,9,16,12,9,11,10,16,8,57,17,23,15,25,15,15,9,13,13,11
"137",9,12,16,20,14,20,21,12,16,16,19,12,11,20,12,23,10,8,20,40,12,12,12,26,19,14,11,18,10,46
"138",17,27,19,23,11,13,24,10,41,9,34,8,17,19,12,15,13,15,12,21,11,20,14,7,11,20,25,18,11,15
"139",13,19,9,NA,9,15,10,NA,14,9,17,10,11,11,14,16,12,15,14,14,8,19,19,9,NA,9,9,10,8,14
"140",9,15,14,10,13,13,29,14,10,13,10,26,11,14,8,14,14,12,13,8,9,10,14,9,9,15,11,14,10,13
"141",9,12,47,21,8,9,10,20,21,10,17,19,18,17,11,21,8,16,55,23,9,19,21,14,13,14,13,19,10,22
"142",12,93,18,15,17,100,8,66,13,11,12,16,19,13,67,11,11,8,13,14,12,10,10,16,7,10,22,15,19,25
"143",21,10,10,16,375,12,14,16,23,78,10,8,15,11,14,22,18,38,16,10,11,8,94,377,16,32,16,10,15,11
"144",11,16,23,9,11,9,8,9,15,11,18,15,16,11,46,9,13,19,335,10,15,11,13,11,11,15,344,13,12,14
"145",9,10,10,18,8,8,18,8,29,8,13,14,9,12,20,9,11,9,13,95,86,99,8,12,19,12,9,9,13,30
"146",17,16,14,12,8,14,24,15,21,38,12,22,15,35,20,18,18,75,15,17,21,13,20,41,21,80,20,28,13,16
"147",17,9,9,11,9,16,17,16,18,16,34,15,17,11,18,13,11,15,12,21,27,31,16,11,18,11,15,14,13,11
"148",23,9,13,9,10,8,14,12,9,11,13,13,9,9,9,9,13,11,9,10,11,12,10,9,13,9,10,9,9,20
"149",14,11,11,13,10,13,13,9,13,13,14,7,15,13,11,9,12,13,10,9,9,14,12,10,13,56,15,12,57,13
"150",13,12,10,12,11,11,12,14,14,12,11,16,12,10,9,12,13,44,9,10,13,13,8,42,12,11,11,13,10,17
"151",62,12,11,19,11,10,22,21,9,69,12,11,27,13,14,22,25,26,44,8,13,12,17,26,16,9,12,8,9,15
