"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"373",61,11,71,25,68,14,27,14,15,9
"374",11,10,9,50,14,52,13,14,49,25
"375",24,36,95,47,20,15,24,88,15,59
"376",19,169,21,10,138,8,31,182,12,34
"377",109,9,17,10,160,14,9,152,30,11
"378",98,10,27,12,11,12,13,13,116,9
"379",10,14,10,81,11,83,17,10,45,9
"380",26,17,43,17,43,16,13,15,14,16
"381",14,15,37,15,15,41,23,19,21,11
"382",17,124,15,127,9,77,25,10,23,51
"383",202,8,18,54,101,27,19,101,228,9
"384",14,25,17,18,18,13,117,12,83,17
"385",246,343,28,43,15,349,28,72,91,67
"386",457,15,58,33,19,14,30,32,426,56
"387",10,23,12,32,15,13,16,17,32,11
"388",16,47,20,7,19,10,8,13,53,53
"389",12,12,11,13,14,14,30,9,23,27
"390",10,268,12,128,29,276,273,8,47,14
"391",19,11,36,165,36,163,25,48,13,163
"392",13,68,16,12,11,17,34,12,106,63
"393",69,107,29,113,11,11,23,15,12,107
"394",10,54,15,15,10,11,15,19,56,42
"395",75,16,44,78,16,34,37,12,12,22
"396",72,11,18,22,62,16,15,8,54,13
"397",12,21,20,25,13,12,15,28,25,15
"398",15,20,11,11,27,9,11,22,14,27
"399",13,29,11,171,11,13,144,17,15,212
"400",88,34,11,117,98,38,268,267,18,11
"401",37,22,12,36,29,17,31,15,10,8
"402",87,17,13,23,8,371,17,20,379,9
"403",20,31,20,52,18,48,19,43,58,25
"404",13,12,12,16,16,30,51,9,15,46
"405",16,49,10,17,11,25,51,11,20,35
"406",31,12,41,63,25,18,23,71,31,19
"407",25,88,49,14,83,18,13,8,25,12
"408",14,38,183,167,19,11,12,183,21,19
"409",11,128,133,13,17,133,232,17,19,16
"410",14,42,16,54,54,9,11,13,21,54
"411",30,19,20,10,51,47,25,47,12,24
"412",8,51,10,55,28,13,9,26,47,10
"413",31,49,18,50,20,42,14,9,36,56
"414",25,18,11,14,78,17,68,15,77,19
"415",10,13,9,15,9,11,15,20,15,20
"416",13,38,18,37,24,10,16,18,14,10
"417",31,24,9,31,19,19,9,10,13,11
"418",44,73,64,NA,NA,21,15,41,NA,24
"419",24,10,28,48,159,169,62,110,164,7
"420",79,65,16,11,14,11,28,67,39,15
"421",10,186,30,305,47,21,49,78,40,372
"422",18,19,14,13,17,52,71,71,17,50
"423",9,11,59,15,23,8,26,21,52,11
"424",18,16,19,14,10,11,17,85,9,89
"425",82,28,18,16,59,12,96,210,11,10
"426",44,16,18,26,57,27,51,14,21,34
"427",17,12,23,35,12,20,16,33,31,11
"428",16,219,45,29,10,158,11,265,18,11
"429",14,42,11,61,13,10,20,65,58,13
"430",165,8,124,22,17,79,345,19,31,66
"431",408,10,9,33,8,27,77,14,471,14
"432",20,9,14,13,16,8,23,37,26,19
"433",67,14,15,76,55,24,19,63,13,26
"434",11,187,56,17,31,108,239,17,237,17
"435",11,14,319,308,254,332,30,17,18,22
"436",12,22,21,34,26,13,23,39,28,25
"437",103,20,109,28,14,9,20,113,23,73
"438",41,43,13,12,15,12,43,14,46,25
"439",229,11,237,14,95,7,25,10,252,10
"440",14,23,21,95,23,13,113,40,17,14
"441",8,192,8,9,16,26,11,194,164,41
"442",31,14,19,24,39,17,44,28,12,38
"443",52,9,18,50,10,7,7,9,45,16
"444",21,45,11,15,17,42,50,43,10,9
"445",82,25,56,13,140,15,157,477,152,15
"446",107,37,13,92,7,27,20,8,9,13
"447",444,398,27,88,483,50,15,23,14,12
"448",215,15,54,73,72,17,18,13,98,41
"449",13,45,24,11,22,45,10,23,23,14
"450",28,145,25,49,17,20,135,15,18,13
"451",15,NA,16,105,145,97,23,353,NA,26
"452",56,13,69,12,11,67,24,18,22,74
"453",NA,NA,23,16,11,NA,23,30,29,NA
"454",144,24,16,8,12,9,126,135,10,15
"455",11,9,24,97,21,32,57,41,8,8
"456",13,148,27,13,36,11,151,19,62,26
"457",11,81,11,68,14,9,41,19,19,81
"458",11,67,66,9,27,68,11,10,8,21
"459",18,8,68,8,39,10,10,8,10,9
"460",17,22,17,15,24,17,16,26,14,25
"461",11,24,57,61,51,14,18,16,15,19
"462",13,67,13,141,139,14,168,16,48,16
"463",11,216,63,224,46,15,18,16,206,23
"464",13,149,145,9,25,6,9,11,10,25
"465",24,31,13,11,34,14,27,14,15,15
"466",11,27,43,34,16,9,45,27,17,31
"467",438,12,16,66,437,434,293,7,75,73
"468",101,14,109,98,21,11,16,115,21,12
"469",14,56,50,18,56,16,17,17,19,24
"470",26,15,52,30,15,39,38,55,15,10
"471",13,31,12,126,11,47,24,128,11,45
"472",81,19,153,134,9,158,146,13,25,22
"473",20,21,12,138,18,40,142,30,15,16
"474",11,11,11,28,12,10,17,16,28,9
"475",17,12,36,21,70,213,223,99,16,196
"476",11,24,15,11,18,11,16,15,26,14
"477",50,24,26,23,50,19,25,19,55,10
"478",10,26,10,7,11,11,19,18,31,31
"479",10,284,12,44,264,12,13,22,301,303
"480",82,20,18,159,18,22,11,164,170,9
"481",97,12,214,240,167,13,12,18,11,8
"482",7,21,207,14,9,208,194,16,9,38
"483",79,23,88,8,13,23,17,97,43,35
"484",39,18,15,19,19,21,14,39,14,14
"485",291,9,303,137,42,15,13,12,9,21
"486",19,10,14,12,83,83,15,10,11,90
"487",16,64,61,49,13,64,15,11,31,23
"488",13,15,9,12,23,18,18,29,30,15
"489",10,NA,10,10,12,13,NA,58,59,127
"490",65,33,9,16,18,7,57,37,21,18
"491",11,62,11,143,33,136,18,38,23,16
"492",53,22,14,40,54,9,58,8,9,16
"493",17,28,11,16,16,11,16,13,26,14
"494",95,108,7,30,36,11,24,27,117,8
"495",23,21,13,188,472,108,20,11,15,145
"496",74,11,50,30,15,71,15,9,78,24
"497",72,54,11,33,50,65,15,23,11,59
"498",8,86,90,15,12,18,16,12,8,16
"499",21,85,10,18,11,11,17,35,32,78
"500",37,10,59,21,12,8,26,11,13,7
"501",57,12,38,478,13,NA,12,NA,436,8
"502",32,16,38,17,13,34,12,27,18,8
"503",121,33,19,23,16,20,135,249,148,23
"504",74,19,19,39,55,13,12,18,79,11
"505",199,9,135,10,12,216,14,18,208,47
"506",12,19,319,71,29,15,20,68,44,28
"507",23,21,15,162,24,13,155,12,11,169
"508",9,10,109,66,19,23,98,56,23,9
"509",65,71,11,11,17,19,28,55,92,18
"510",124,86,23,117,18,24,21,12,15,50
"511",20,24,14,15,15,9,9,42,47,9
"512",12,47,87,77,32,86,47,13,19,30
"513",16,11,13,34,56,66,44,15,15,17
"514",53,14,14,9,134,87,30,125,21,24
"515",35,194,19,10,191,31,10,11,14,135
"516",33,11,24,18,12,28,34,36,39,31
"517",11,11,90,132,138,7,11,8,22,10
"518",38,11,10,73,133,30,81,28,23,157
"519",49,16,26,15,57,20,10,55,47,12
"520",20,63,13,10,12,36,13,13,97,95
"521",9,10,9,21,10,17,277,27,147,14
"522",60,26,26,NA,NA,NA,28,25,18,57
"523",28,20,73,31,28,63,25,20,52,32
"524",14,79,24,465,473,19,106,47,16,25
"525",26,134,14,85,NA,NA,13,14,18,44
"526",36,86,92,11,85,13,19,13,11,14
"527",15,21,23,10,65,12,10,65,16,60
"528",69,11,15,9,20,74,15,49,71,28
"529",101,86,16,23,14,12,13,17,43,10
"530",21,41,14,34,26,22,14,38,9,16
"531",11,38,90,20,36,61,17,85,10,78
"532",14,18,73,15,14,14,78,20,20,7
"533",15,17,24,10,6,12,14,21,25,9
"534",11,17,11,12,25,18,11,13,29,21
"535",43,14,12,10,29,17,58,16,17,12
"536",82,25,37,14,33,11,32,96,11,92
"537",101,17,127,12,11,115,36,12,127,17
"538",23,26,13,11,10,21,13,15,28,15
"539",24,34,8,24,14,35,16,32,18,11
"540",24,80,14,72,28,54,68,20,12,16
"541",16,15,12,8,14,13,16,20,15,25
"542",10,8,64,52,57,9,17,25,17,10
"543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"544",14,48,12,11,18,14,105,15,55,9
"545",89,19,24,20,91,15,51,9,27,82
"546",485,17,16,471,17,8,155,30,19,75
"547",14,62,11,149,42,153,12,15,16,11
"548",16,69,13,12,47,70,31,12,18,15
"549",NA,NA,NA,NA,NA,NA,NA,30,202,NA
"550",43,13,20,229,75,221,15,168,13,22
"551",100,35,11,25,72,47,10,17,97,14
"552",73,92,20,82,11,21,36,26,16,18
"553",463,486,32,24,17,15,19,141,34,10
"554",8,9,42,18,9,44,35,27,24,15
"555",25,22,21,14,363,290,14,57,12,16
"556",10,11,17,27,23,32,25,12,10,35
"557",13,25,16,13,14,22,27,10,21,10
"558",26,12,10,8,22,9,22,12,13,19
"559",105,10,43,40,43,101,50,68,12,26
"560",71,336,21,30,12,21,85,322,15,18
"561",95,93,11,13,12,12,32,18,78,10
"562",37,24,21,20,7,9,14,57,44,10
"563",10,12,38,11,11,17,102,94,8,15
"564",15,15,46,8,11,29,14,43,19,9
"565",14,156,8,13,11,11,21,37,146,45
"566",15,10,181,124,264,15,8,36,18,14
"567",174,25,26,26,177,15,15,21,27,14
"568",170,26,11,9,177,140,13,15,28,15
"569",36,37,22,14,16,14,14,14,19,28
"570",16,115,72,30,8,32,172,18,52,10
"571",25,20,51,12,10,7,19,10,40,54
"572",14,340,19,10,20,13,36,19,20,64
"573",13,35,12,11,10,32,13,37,15,26
"574",14,90,16,14,14,87,81,17,20,29
"575",18,16,9,14,19,16,52,59,14,9
"576",10,16,46,18,19,11,22,41,17,10
"577",14,28,17,23,23,26,47,22,52,30
"578",12,13,9,9,96,104,86,9,8,14
"579",18,14,37,11,13,13,61,24,67,47
"580",19,55,27,12,9,33,53,12,12,21
"581",10,43,45,10,17,14,8,17,17,16
"582",19,85,21,22,98,16,15,75,16,18
"583",18,16,19,12,11,16,26,13,28,7
"584",12,273,10,330,12,14,6,8,11,275
"585",20,38,18,95,23,95,8,46,12,22
"586",17,16,36,16,24,37,28,38,19,19
"587",66,10,40,30,17,63,62,33,10,16
"588",29,32,20,27,9,56,73,64,62,15
"589",27,15,46,31,10,16,20,48,9,26
"590",21,71,46,17,24,24,17,16,15,83
"591",11,111,76,9,8,11,22,122,19,36
"592",13,11,11,9,461,11,25,457,433,12
"593",38,15,17,14,9,103,11,13,107,85
"594",13,442,12,407,11,446,9,14,18,8
"595",30,67,47,19,13,9,9,41,68,11
"596",11,18,10,14,23,148,12,13,144,8
