"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"323",13,90,12,11,94,16,20,13,8,7
"324",11,39,12,11,151,20,15,NA,11,NA
"325",12,11,9,15,12,13,16,77,79,16
"326",14,17,36,34,15,61,33,16,10,64
"327",55,12,81,29,35,12,29,85,10,10
"328",10,11,45,10,23,14,10,23,10,32
"329",10,328,15,226,12,10,9,12,17,14
"330",301,20,31,31,20,120,14,9,19,307
"331",16,33,13,20,NA,15,NA,13,NA,13
"332",9,13,11,NA,NA,29,10,8,8,10
"333",9,13,65,23,21,9,11,22,69,9
"334",101,9,13,29,95,42,12,24,12,10
"335",10,8,8,18,10,15,10,76,8,62
"336",120,14,11,102,105,27,27,22,12,26
"337",7,9,16,11,37,10,15,11,34,12
"338",15,27,30,63,16,41,20,12,107,94
"339",8,10,10,27,15,9,9,11,31,10
"340",22,15,11,10,13,12,11,24,12,13
"341",10,90,9,68,89,18,21,20,12,13
"342",23,9,10,12,19,20,20,15,60,59
"343",112,51,14,13,111,19,12,52,21,16
"344",21,30,17,24,18,71,72,11,12,13
"345",23,14,34,18,37,18,13,20,8,12
"346",70,13,16,10,11,9,17,8,15,71
"347",18,15,127,211,46,10,192,20,14,17
"348",82,13,171,153,174,20,14,39,11,13
"349",14,14,64,17,65,13,13,17,17,23
"350",12,38,7,11,8,11,7,12,15,31
"351",13,67,10,17,63,11,13,15,21,29
"352",NA,8,NA,459,16,7,14,10,11,12
"353",11,10,76,19,11,12,23,10,74,14
"354",30,18,11,60,12,15,40,25,14,62
"355",14,9,280,15,10,77,17,11,9,16
"356",104,30,17,12,27,13,11,15,29,23
"357",13,22,26,21,11,45,13,17,78,84
"358",16,21,147,13,27,15,26,56,15,147
"359",33,32,16,40,38,22,13,13,21,9
"360",15,43,19,14,125,26,121,18,16,14
"361",32,21,17,166,9,10,17,34,25,37
"362",10,12,13,99,152,13,11,10,149,12
"363",13,16,37,24,46,13,23,56,16,21
"364",18,9,17,12,8,13,14,16,30,28
"365",12,13,9,10,75,82,10,10,9,12
"366",33,9,11,9,13,17,35,11,11,19
"367",196,10,9,117,7,12,17,9,92,12
"368",10,35,15,11,18,11,19,17,19,41
"369",18,14,482,25,18,20,52,21,13,14
"370",45,40,10,16,13,15,9,11,17,37
"371",13,48,10,43,8,18,11,14,14,14
"372",12,15,13,23,11,10,294,13,206,9
"373",41,10,40,17,17,11,12,10,12,8
"374",9,8,8,41,11,41,9,12,18,16
"375",23,28,59,39,16,13,16,47,14,57
"376",9,55,10,8,20,6,12,43,8,16
"377",30,8,12,9,14,11,9,32,14,9
