"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"798",14,11,20,15,45,11,10,53,21,18,18,15,63,36,24,12,59,17,8,96,17,12,14,14,25,135,9,51,24,9,25,27,11,18,27,80,19,20,17,14,12,14,29,10,14,7,9,136,38,16
"799",17,15,10,9,10,16,10,13,10,8,8,22,12,18,8,10,14,13,14,17,11,14,11,9,15,17,13,15,7,29,12,11,10,10,9,13,14,20,15,12,13,13,8,12,11,10,13,10,17,16
"800",29,13,18,23,20,23,19,15,23,27,23,10,8,21,18,11,13,23,15,25,19,26,20,7,10,9,26,7,28,36,48,11,26,26,46,29,24,7,9,11,7,15,22,22,9,9,10,15,17,18
"801",16,20,11,17,12,26,24,24,9,14,10,25,32,38,9,15,24,18,24,21,22,22,23,29,11,8,7,8,9,10,11,28,21,7,8,20,9,14,18,19,10,9,20,12,13,24,18,9,9,23
"802",15,13,16,13,10,16,15,21,11,14,14,11,14,12,15,15,10,9,12,18,8,13,12,10,10,20,7,20,10,15,42,18,15,13,7,13,10,11,12,18,12,14,7,17,19,16,8,40,13,11
"803",23,12,18,22,13,11,16,23,10,14,15,17,11,11,26,10,8,9,10,23,19,23,20,23,25,16,12,9,11,12,19,24,15,9,34,36,15,11,21,11,15,17,12,10,23,11,20,16,20,19
"804",7,20,7,22,21,23,24,9,9,13,17,8,19,12,11,22,18,10,21,21,10,8,10,23,19,19,31,19,21,11,59,9,12,16,13,10,46,10,14,12,12,11,10,9,14,10,11,45,61,11
"805",17,16,63,45,40,18,10,16,13,11,15,2,17,6,14,19,11,11,7,18,16,9,12,12,75,13,8,14,10,11,17,8,60,6,31,75,15,16,10,7,19,20,11,14,9,17,19,8,7,11
"806",8,32,12,14,7,10,8,12,13,12,15,10,7,15,11,13,15,16,15,9,11,14,11,13,12,15,12,11,15,11,12,7,15,14,14,36,12,9,14,12,16,10,11,10,14,11,13,12,13,16
"807",13,17,11,7,19,17,24,14,86,12,14,19,10,30,27,9,9,21,18,15,10,8,48,10,11,10,11,9,19,15,30,13,22,13,9,13,11,26,10,23,21,12,19,16,6,80,12,17,14,8
"808",17,12,16,11,16,17,52,15,14,15,17,11,15,11,9,23,7,15,14,13,12,11,11,14,17,61,19,7,14,11,19,22,25,9,16,12,12,23,10,11,10,9,14,8,32,6,23,15,24,10
"809",13,16,20,10,11,14,75,10,11,14,8,8,14,7,12,11,13,11,15,8,11,9,8,14,49,17,9,16,13,14,17,17,17,69,11,7,14,9,12,16,12,9,11,12,14,11,10,8,11,17
"810",12,7,19,17,18,10,17,15,11,27,12,13,17,38,14,26,10,12,10,11,27,12,11,12,13,24,7,11,27,24,14,38,9,9,12,24,14,20,23,12,9,26,12,15,26,18,11,18,13,14
"811",16,14,9,15,11,17,17,22,8,18,11,18,10,22,23,23,18,12,20,25,16,11,17,16,8,22,47,13,9,12,11,13,8,18,11,16,10,14,26,10,11,10,34,14,19,46,24,8,9,14
"812",10,12,9,27,11,17,27,21,19,65,19,18,9,14,9,9,9,8,11,18,16,94,26,16,14,22,11,13,8,11,21,23,17,9,11,11,10,19,12,12,26,9,28,10,12,18,19,13,26,66
"813",9,13,11,13,15,10,11,9,7,22,10,11,9,13,220,16,9,16,9,10,12,10,17,12,23,11,11,17,206,11,18,16,10,17,16,26,15,13,13,12,9,19,9,16,15,220,19,12,13,43
"814",11,15,21,11,18,16,14,12,17,22,9,10,20,14,10,13,15,16,9,12,21,15,21,8,18,15,31,15,17,15,21,32,14,19,17,16,22,22,12,16,15,19,15,22,13,19,7,18,11,14
"815",12,10,29,9,19,12,15,15,7,21,10,10,9,13,9,12,11,12,9,13,7,10,15,NA,13,12,11,80,29,11,18,12,10,17,11,10,9,11,10,11,18,14,16,12,10,25,12,13,NA,9
"816",11,13,10,10,10,10,15,13,8,15,17,13,9,10,13,13,12,14,9,9,9,17,9,14,13,8,13,13,15,9,12,10,9,12,9,9,45,10,43,12,14,11,11,15,12,8,11,10,12,10
"817",8,17,15,13,19,13,13,16,7,9,9,12,20,57,18,19,16,20,15,11,13,19,11,75,8,11,10,9,42,21,14,9,22,9,13,14,22,7,19,14,9,18,75,8,12,12,9,9,23,10
"818",14,19,21,10,11,15,20,8,13,9,15,13,12,19,11,10,14,11,10,15,11,11,14,29,14,10,18,12,11,20,11,17,9,9,9,15,26,11,9,9,16,11,10,10,9,76,19,18,82,66
"819",13,7,8,9,10,10,11,12,14,11,9,25,13,20,19,12,87,11,8,46,13,11,16,18,15,14,14,27,9,12,29,26,19,19,8,90,32,27,12,15,14,20,15,15,13,16,13,12,21,22
"820",8,9,38,10,16,39,24,13,12,25,14,16,10,9,13,15,10,25,9,11,16,11,12,11,23,13,12,15,18,14,16,12,10,11,18,14,11,11,16,8,13,11,10,10,16,20,14,17,27,13
"821",9,19,21,28,13,14,12,17,20,27,70,13,10,12,15,14,24,9,8,13,18,18,8,18,20,27,18,10,7,17,10,64,15,32,21,33,20,15,13,19,8,34,13,10,20,16,21,12,17,18
"822",13,10,64,8,18,11,10,8,13,19,20,13,21,7,31,22,10,8,11,12,16,32,11,12,8,8,11,11,10,65,12,20,11,22,13,15,10,15,10,10,9,18,12,15,7,12,10,10,9,11
"823",14,19,8,10,20,28,8,15,30,9,21,8,13,15,16,20,10,13,18,19,15,8,17,9,15,18,14,21,6,21,18,21,22,18,20,14,18,18,15,14,13,15,13,22,9,9,12,18,19,12
"824",15,7,13,12,19,13,14,9,11,17,12,15,13,9,13,15,12,17,9,11,10,15,12,16,8,15,16,16,35,15,10,14,31,13,14,11,13,8,12,10,11,18,12,16,13,14,11,13,11,14
"825",8,17,22,10,15,19,45,18,15,19,8,12,14,13,10,9,8,9,11,10,10,44,8,15,10,10,14,15,12,25,21,10,13,10,22,19,16,15,19,21,10,16,18,8,14,14,14,25,11,9
"826",13,22,14,17,9,9,10,18,16,10,23,22,49,14,23,11,19,7,47,25,30,10,12,16,9,10,11,9,10,12,10,17,8,16,22,9,20,19,16,14,11,10,10,28,15,11,24,15,9,12
"827",7,8,17,12,16,17,65,15,19,14,16,24,11,9,22,13,9,9,8,21,10,24,13,12,10,81,45,16,9,22,11,100,11,22,10,14,18,13,11,93,10,14,23,17,20,9,17,23,18,15
"828",9,32,12,12,8,10,15,14,21,15,49,15,10,11,18,11,15,12,13,47,17,21,11,11,9,25,9,9,12,11,9,9,10,10,16,14,18,12,10,15,17,12,20,12,9,16,9,12,11,22
"829",9,8,16,16,20,11,15,9,19,9,18,10,9,28,20,25,11,9,10,15,13,9,13,18,12,11,NA,9,30,13,13,23,19,14,NA,19,18,10,11,19,NA,10,11,16,14,27,10,11,21,21
"830",13,28,15,8,18,14,18,17,10,8,29,11,15,17,11,12,18,15,15,9,15,8,9,9,11,11,10,16,9,15,9,11,11,11,12,12,17,17,13,11,12,15,16,10,14,11,17,10,12,18
"831",12,15,26,12,25,14,12,13,11,18,10,9,11,10,17,16,9,14,7,16,10,12,29,16,26,21,9,15,8,21,17,178,35,14,10,26,12,24,21,17,13,12,21,29,138,10,11,35,9,192
"832",51,9,27,21,18,9,16,16,9,29,8,9,9,23,20,11,13,26,13,27,11,13,32,19,26,12,8,8,16,8,44,30,15,10,9,25,28,16,15,27,11,15,14,18,9,8,25,10,12,10
"833",9,120,13,6,10,14,34,123,10,23,9,9,24,21,12,8,37,15,17,9,13,8,23,12,19,11,9,15,14,20,13,8,24,13,15,8,9,11,96,23,23,15,9,86,17,7,20,16,25,12
"834",15,10,17,7,102,33,29,12,30,9,9,8,23,11,9,24,16,9,22,13,11,11,83,17,11,24,15,11,11,21,13,24,19,9,20,9,7,31,9,8,29,19,10,10,63,99,10,18,11,9
"835",18,14,9,13,18,17,14,11,16,19,8,28,25,20,9,34,33,13,18,8,15,25,28,10,18,10,13,22,11,14,9,20,9,16,11,45,43,10,15,12,13,12,11,8,17,12,23,17,18,7
"836",10,11,15,NA,17,10,11,9,11,9,13,9,10,8,14,11,17,12,9,9,13,14,15,25,11,33,14,13,16,12,12,16,17,19,21,19,124,11,17,NA,11,17,9,6,6,11,13,7,9,19
"837",17,14,17,11,14,7,35,15,15,26,10,47,20,24,25,13,9,30,10,44,10,23,21,9,8,15,13,19,11,12,10,26,17,13,12,15,11,14,10,18,14,24,14,8,25,12,12,16,24,9
"838",31,9,12,35,16,18,32,9,16,35,35,9,21,13,15,22,20,15,35,18,10,11,10,79,14,20,9,19,31,31,15,15,20,27,9,11,71,11,13,27,18,14,28,8,9,11,9,33,12,26
