"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"633",12,11,13,46,16,8,116,10,12,26,23,10,9,15,15,12,276,20,22,12,11,11,274,55,8,239,11,26,12,22
"634",13,11,23,15,11,15,15,21,32,22,13,15,16,20,12,68,19,25,22,9,115,9,13,102,29,27,22,42,22,23
"635",NA,11,27,11,10,17,26,31,24,9,NA,23,15,NA,18,13,14,NA,NA,9,21,9,11,NA,NA,17,11,NA,NA,11
"636",72,15,11,8,10,12,11,16,10,17,7,15,16,9,9,8,84,75,11,11,10,10,11,9,12,10,8,12,13,72
"637",16,11,11,25,18,14,13,11,11,10,123,23,16,13,11,22,13,97,12,14,12,213,19,16,14,35,11,24,11,31
"638",15,16,10,16,14,19,9,12,14,32,13,8,172,36,12,110,10,18,62,15,22,15,10,12,9,18,8,168,195,18
"639",13,11,74,443,11,12,24,14,19,284,12,9,18,13,12,42,12,8,24,13,24,215,18,429,18,9,11,13,13,15
"640",12,11,34,10,14,10,10,23,28,94,19,11,14,28,9,15,19,10,16,15,17,18,14,15,13,8,27,105,8,16
"641",14,86,21,11,13,8,14,25,34,15,19,23,16,15,14,11,NA,10,10,165,16,185,NA,NA,30,NA,44,22,14,38
"642",40,41,9,12,32,39,18,13,15,7,195,15,173,10,14,12,16,27,10,12,15,35,9,10,22,68,11,24,15,10
"643",100,70,20,71,56,12,17,90,42,12,24,20,27,19,397,15,27,16,13,11,25,62,25,12,26,11,95,397,23,12
"644",26,12,12,9,15,14,219,33,37,193,13,8,28,8,12,8,16,17,10,379,11,13,22,10,14,11,20,23,8,380
"645",10,NA,15,14,13,24,51,11,46,19,14,10,15,16,48,17,8,34,383,115,14,46,50,16,15,NA,18,14,11,14
"646",79,20,37,14,24,37,10,14,37,33,11,40,14,35,44,11,248,10,17,29,12,15,91,63,43,18,9,27,232,23
"647",11,46,15,8,42,37,9,27,15,125,11,19,13,21,144,146,21,11,102,13,8,11,55,11,25,17,10,13,11,148
"648",21,273,12,15,15,200,9,9,65,19,10,9,8,37,11,9,9,15,12,7,324,270,9,11,36,9,10,12,12,12
"649",NA,NA,20,14,13,12,11,31,21,32,8,11,49,60,12,8,26,68,14,13,NA,21,28,25,63,24,10,17,14,26
"650",11,29,9,17,14,22,8,13,9,13,24,10,31,15,14,21,20,15,19,14,12,191,139,11,12,194,10,13,16,172
"651",33,12,12,10,27,14,9,11,68,14,11,24,9,7,17,8,11,16,9,12,8,29,9,18,67,11,11,9,8,9
"652",15,37,19,10,125,103,15,24,94,14,18,10,104,12,8,14,8,14,48,30,12,10,84,17,24,9,11,15,10,38
