"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"672",17,12,9,12,14,10,11,22,11,14,19,11,12,68,9,19,11,21,23,17,16,9,14,8,53,22,11,31,9,18,8,11,20,16,11,9,15,25,10,9
"673",12,14,10,34,13,10,10,11,17,11,18,9,10,16,13,13,14,10,11,13,8,19,17,10,7,12,9,14,17,7,13,34,9,16,10,15,13,16,14,14
"674",10,34,27,12,30,10,10,107,32,26,11,11,18,10,24,61,7,18,11,25,20,16,20,22,15,8,14,14,11,14,14,9,10,32,17,108,19,12,13,9
"675",13,17,23,12,10,10,12,11,9,16,11,14,12,17,18,7,19,12,13,21,9,16,26,24,17,16,14,14,35,10,14,25,53,14,10,10,18,20,23,17
"676",9,13,43,9,14,21,14,10,20,18,9,12,8,9,16,12,19,41,19,20,12,22,15,16,10,16,12,13,12,24,17,8,7,12,9,25,16,8,17,15
"677",17,14,16,19,14,18,37,17,17,20,12,20,15,8,11,17,19,21,13,9,9,9,21,10,53,13,19,12,13,11,13,18,10,9,19,10,19,14,13,22
"678",13,13,19,17,23,61,11,16,13,16,28,19,140,22,21,10,12,12,10,10,9,16,64,22,21,9,140,21,24,10,10,26,23,18,11,13,13,12,9,25
"679",7,14,18,16,41,12,13,10,10,8,14,13,9,13,11,10,14,12,17,16,13,8,13,8,14,9,14,13,12,9,14,14,10,17,33,14,8,14,13,14
"680",32,34,10,9,18,17,11,14,14,9,14,9,14,9,10,16,10,7,9,19,16,14,10,14,8,18,10,9,19,15,12,9,9,16,17,10,14,9,18,18
"681",10,16,18,120,107,17,15,15,10,15,13,14,9,9,17,8,19,9,17,16,18,38,15,19,19,13,19,16,15,15,29,9,10,116,16,14,9,16,8,9
"682",17,13,11,12,17,18,13,16,12,13,16,17,15,15,7,17,17,13,15,18,10,13,17,17,9,14,12,14,18,17,20,46,15,18,12,17,9,12,40,11
"683",23,20,7,44,10,8,9,57,14,11,19,14,20,68,13,20,11,9,21,18,9,55,20,17,14,21,19,14,10,10,9,13,17,12,20,19,67,16,11,21
"684",8,10,9,17,28,26,9,12,14,11,14,12,8,8,15,11,9,15,11,10,9,8,9,9,12,10,11,8,12,9,10,9,8,8,14,15,10,12,11,9
"685",8,15,9,14,12,11,9,9,13,9,10,10,11,10,8,9,28,8,9,9,11,11,11,11,11,31,11,10,12,11,7,11,14,8,11,10,10,10,12,9
"686",10,21,14,96,11,9,10,39,9,25,10,12,15,10,9,13,80,14,11,38,33,13,11,12,32,22,12,14,11,9,43,90,26,101,24,29,12,10,20,8
"687",16,14,11,11,20,21,19,7,9,20,18,25,7,13,18,8,20,8,18,21,9,22,12,13,8,13,21,12,47,10,19,11,13,11,53,7,9,8,9,12
"688",15,26,10,25,9,20,32,22,15,13,22,16,10,16,17,10,16,12,20,9,11,22,14,14,18,17,11,17,17,11,20,24,10,14,49,19,16,47,27,14
"689",10,8,22,13,18,15,16,15,25,13,20,13,7,15,7,7,14,10,15,13,34,19,16,11,20,20,14,20,20,19,10,19,15,34,17,8,8,9,13,8
"690",19,62,10,17,24,18,27,18,10,8,22,80,29,12,8,12,9,13,8,22,22,14,20,18,24,8,7,9,12,11,9,17,12,10,18,25,20,7,15,79
"691",11,12,14,13,14,10,10,12,12,15,11,11,12,27,11,9,14,10,10,12,25,11,10,14,10,9,9,32,18,9,11,10,18,11,14,11,15,7,11,10
"692",34,13,12,17,10,11,12,17,29,31,11,12,10,13,11,46,11,12,16,31,31,19,18,11,28,9,7,18,18,14,8,26,26,16,13,11,10,10,14,50
"693",12,16,6,14,16,18,9,17,9,34,11,22,7,16,14,7,13,16,12,17,20,17,29,12,9,10,19,16,15,21,8,16,13,9,29,20,16,12,18,10
"694",19,11,12,12,18,12,12,11,8,46,7,19,13,16,33,15,9,27,11,34,15,8,46,9,37,9,11,10,19,14,14,14,35,21,23,17,17,15,30,18
"695",12,21,45,8,19,32,20,13,25,25,9,24,9,21,28,12,10,19,8,13,12,15,32,23,10,11,10,18,12,48,16,13,11,32,8,10,8,18,11,9
"696",9,14,10,14,11,13,15,14,14,14,10,14,9,16,12,12,11,12,15,11,10,9,13,13,14,10,10,40,13,13,10,15,38,16,14,13,10,13,12,10
"697",11,15,14,10,12,14,11,17,37,11,16,9,17,15,15,15,14,13,10,14,14,11,10,9,38,16,15,16,11,13,16,12,15,11,8,16,13,14,11,11
"698",8,11,11,11,18,17,22,59,16,26,26,26,8,25,26,51,20,8,18,8,9,15,9,15,14,12,9,13,16,26,23,16,15,9,16,24,11,16,12,19
"699",9,12,13,23,7,12,14,121,12,20,10,10,11,16,8,8,18,14,9,25,123,10,8,8,9,13,12,10,8,23,15,12,14,16,21,14,11,13,8,17
"700",14,13,11,11,13,15,7,12,16,15,15,13,10,16,9,8,14,8,12,9,10,17,6,14,9,8,17,17,34,15,12,16,36,10,18,15,10,15,8,15
"701",11,13,17,14,8,10,11,11,15,10,11,11,15,8,9,11,12,11,10,12,27,10,11,14,12,13,15,16,7,10,16,9,52,16,32,38,20,9,13,11
"702",11,12,12,14,10,11,15,10,11,13,14,11,24,16,14,13,13,13,13,14,8,10,15,9,8,12,13,4,14,11,10,13,12,16,14,14,7,19,9,15
"703",19,11,11,27,20,14,17,92,90,11,12,10,13,14,27,12,14,11,16,17,22,10,14,31,12,25,22,14,12,10,37,9,74,23,23,13,27,9,27,26
"704",18,12,9,12,16,13,43,11,320,23,12,18,17,11,255,23,14,10,305,20,14,16,11,11,9,10,16,10,18,9,14,21,9,12,11,17,7,13,10,14
"705",8,8,12,10,8,7,12,12,9,9,8,10,11,9,10,12,8,7,31,7,11,9,10,10,11,11,9,8,9,33,8,7,9,10,7,7,8,10,10,11
"706",8,13,12,16,13,10,21,15,46,16,16,19,15,14,8,16,10,13,15,8,18,14,34,12,15,11,20,13,9,42,10,10,17,12,18,11,8,10,15,11
"707",14,21,97,10,16,11,28,11,40,17,14,33,15,13,20,22,11,15,9,10,13,10,12,9,12,13,12,16,11,10,8,16,10,10,96,32,17,9,11,9
"708",15,14,11,8,13,9,14,15,8,16,13,9,13,10,10,10,13,14,36,15,11,15,14,15,12,15,14,14,14,11,9,13,13,7,15,13,14,14,36,12
"709",16,15,13,21,17,17,11,14,9,17,17,16,7,8,9,14,18,28,17,14,14,16,17,9,10,14,8,16,13,16,12,16,12,14,16,19,10,9,10,15
"710",12,40,12,11,8,16,51,11,11,9,12,7,13,32,29,11,11,11,15,29,10,11,8,9,8,9,20,13,9,14,15,17,15,11,53,19,23,13,12,7
"711",18,13,16,8,10,19,11,11,10,21,6,19,17,10,9,17,17,13,15,82,15,16,14,9,9,66,9,16,12,14,9,19,16,17,11,19,14,13,10,18
"712",18,48,23,8,15,16,22,8,11,34,15,10,14,17,18,9,13,16,26,9,19,14,9,10,21,13,39,24,10,32,9,11,8,25,11,13,19,13,51,19
"713",26,7,11,10,9,21,12,10,21,17,8,23,23,10,41,41,12,17,14,11,20,19,14,44,12,15,9,13,14,20,14,18,26,10,19,12,11,13,10,16
