"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"62",14,32,8,12,6,13,15,8,27,12,14,23,16,25,9,10,16,23,10,9,16,12,26,11,18,23,11,14,9,12,15,37,16,14,15,14,33,9,9,17,9,8,10,8,7,12,10,16,13,45
"63",21,11,15,15,29,9,50,10,31,22,13,15,14,12,23,9,13,11,22,36,23,16,18,54,13,20,15,19,17,11,10,10,25,14,12,16,20,22,11,8,22,15,14,19,13,51,60,19,27,18
"64",10,10,NA,13,9,37,12,8,56,NA,11,58,20,27,17,20,15,11,30,10,21,19,12,12,9,15,13,212,25,14,53,35,10,23,10,25,193,20,13,68,9,23,31,12,22,11,12,17,NA,16
"65",11,13,12,13,9,18,14,191,16,11,15,12,13,12,10,9,16,26,11,11,12,10,10,10,9,39,18,190,13,10,22,8,10,13,205,21,7,47,13,25,14,10,14,8,11,24,9,210,66,13
"66",16,13,8,9,12,12,13,18,33,39,17,31,13,35,10,11,51,13,27,16,46,20,12,19,88,12,11,16,30,15,11,10,12,95,47,81,18,23,12,34,21,8,15,100,12,43,9,14,13,17
"67",31,90,19,14,56,9,119,25,12,14,26,26,14,34,12,13,10,8,11,105,15,118,17,15,13,20,8,16,9,18,29,10,9,8,13,26,20,25,26,128,9,11,20,9,13,13,18,15,16,19
"68",10,16,12,101,41,14,28,14,15,25,11,19,24,66,9,34,8,69,39,18,12,15,18,21,19,15,12,13,11,10,96,17,13,8,92,24,7,16,15,9,8,11,36,38,12,39,12,15,14,22
"69",15,16,22,7,19,16,21,21,9,17,352,24,11,15,11,NA,12,23,239,9,10,14,18,31,10,11,358,11,22,22,11,14,25,23,35,26,20,30,49,18,20,17,15,8,14,26,NA,18,20,12
"70",21,100,14,8,11,17,9,19,109,11,12,18,32,87,45,11,14,55,22,38,21,12,8,42,19,19,16,34,12,11,19,11,19,13,56,21,8,26,10,18,16,12,18,39,37,12,11,35,10,8
"71",NA,NA,NA,NA,NA,NA,NA,NA,17,13,36,9,7,148,NA,NA,16,12,NA,NA,17,NA,16,39,NA,NA,11,9,NA,NA,10,8,NA,NA,12,9,NA,10,9,NA,15,18,20,19,NA,NA,NA,15,NA,NA
"72",9,13,167,14,9,7,39,14,240,12,18,8,13,18,10,15,14,119,9,16,14,9,23,96,11,21,15,18,14,39,14,9,9,9,13,13,11,12,88,8,39,31,24,10,247,72,8,13,14,17
"73",NA,NA,NA,8,56,NA,17,9,16,NA,8,16,12,15,23,12,NA,NA,13,13,NA,NA,16,NA,NA,19,NA,11,9,NA,17,57,NA,15,16,NA,55,12,NA,NA,NA,13,NA,14,16,17,51,19,23,NA
"74",90,22,22,29,184,23,14,12,12,25,10,11,12,10,14,21,12,16,17,10,94,22,7,8,24,10,12,14,16,90,19,23,14,9,12,11,20,14,22,83,21,17,10,19,14,15,25,35,11,16
"75",8,17,10,184,37,11,10,56,16,12,14,47,172,18,30,9,10,12,12,27,21,8,14,13,86,20,18,20,62,131,12,32,85,44,40,40,39,13,10,13,14,32,10,8,11,20,33,15,38,11
"76",20,21,145,9,66,10,14,23,22,15,8,12,11,16,109,14,27,43,52,10,10,74,22,11,14,12,11,8,11,9,9,157,13,22,24,22,21,13,10,12,27,11,37,34,43,15,27,15,10,169
