"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"112",37,10,21,53,9,21,NA,21,NA,11,9,14,9,10,10,17,15,31,13,24,9,7,9,39,29,179,11,12,15,11,10,25,13,16,254,8,77,9,10,14
"113",17,73,20,30,7,9,20,14,26,21,15,8,15,11,12,15,16,71,9,10,9,16,10,15,23,17,8,20,14,13,41,18,14,70,11,19,25,14,50,9
"114",291,16,15,32,9,8,12,14,128,281,97,16,14,11,42,12,18,19,31,21,16,75,113,30,15,25,298,66,16,10,27,14,175,48,27,18,16,30,14,35
"115",16,149,16,12,30,14,13,143,35,32,279,10,315,32,39,48,15,20,20,16,12,13,14,13,11,8,11,230,12,38,16,188,11,14,13,13,10,17,40,13
"116",16,10,19,10,13,7,17,23,21,21,14,22,18,290,483,482,23,45,17,102,10,27,8,21,40,8,312,17,16,15,482,9,14,9,17,13,447,19,20,36
"117",69,12,12,28,21,14,468,24,11,27,16,38,15,12,9,23,9,14,10,13,15,14,20,15,14,25,11,122,35,469,462,20,26,29,21,33,47,443,10,15
"118",19,14,28,25,11,21,20,19,24,18,11,11,NA,18,43,NA,11,10,15,9,28,24,12,8,23,20,19,10,NA,16,10,15,13,57,13,9,10,23,NA,NA
"119",11,11,13,19,80,12,13,9,12,12,39,15,24,9,35,11,150,90,184,8,11,9,250,11,48,15,14,14,264,14,16,20,13,12,18,17,15,15,10,10
"120",9,14,NA,321,8,NA,18,10,19,19,73,11,NA,9,12,24,NA,27,310,12,17,10,12,8,NA,9,9,16,NA,NA,16,9,15,10,19,14,19,21,12,NA
"121",11,12,18,11,10,31,72,18,17,9,9,12,25,8,91,14,10,10,16,14,13,8,36,11,23,10,59,90,13,17,9,11,26,14,86,17,11,12,15,17
"122",18,18,16,13,19,214,22,344,41,12,14,33,13,12,19,7,8,10,48,19,14,12,10,17,8,190,10,16,18,9,20,12,33,18,8,22,15,42,10,22
"123",13,32,11,12,16,8,15,8,149,13,23,11,11,9,11,10,9,37,127,158,17,14,8,26,18,175,14,17,17,9,16,155,15,10,20,21,15,13,14,11
"124",11,94,21,252,80,16,14,10,26,16,74,17,14,21,73,11,21,19,27,10,13,21,17,14,14,22,12,15,11,10,15,8,43,26,10,18,38,30,17,12
